timestamps,TP9,AF7,AF8,TP10,Right AUX
1688548451.509,-34.180,-38.086,-1.465,-31.250,0.000
1688548451.513,-38.574,-24.902,9.277,-36.133,0.000
1688548451.516,-44.434,-28.320,4.883,-39.551,0.000
1688548451.520,-47.852,-35.156,-0.977,-49.316,0.000
1688548451.524,-58.105,-33.691,0.000,-55.664,0.000
1688548451.528,-58.105,-37.109,0.977,-51.270,0.000
1688548451.532,-51.270,-43.457,-1.465,-49.805,0.000
1688548451.536,-47.852,-47.852,-10.742,-55.664,0.000
1688548451.540,-50.293,-55.176,-11.230,-59.082,0.000
1688548451.544,-56.152,-61.035,-17.090,-57.129,0.000
1688548451.548,-54.688,-62.988,-35.645,-53.711,0.000
1688548451.552,-52.734,-61.035,-26.367,-46.387,0.000
1688548451.555,-52.734,-49.805,-13.672,-53.711,0.000
1688548451.559,-46.387,-42.480,-16.113,-49.805,0.000
1688548451.563,-35.645,-39.551,-22.461,-32.715,0.000
1688548451.567,-34.668,-39.551,-16.602,-39.551,0.000
1688548451.571,-36.133,-33.203,-12.695,-50.293,0.000
1688548451.575,-40.039,-35.645,-20.996,-47.852,0.000
1688548451.579,-50.781,-47.363,-20.996,-52.734,0.000
1688548451.583,-56.641,-48.828,-20.508,-57.617,0.000
1688548451.587,-47.363,-42.969,-19.043,-50.781,0.000
1688548451.591,-42.969,-34.668,-28.320,-49.316,0.000
1688548451.595,-55.664,-32.227,-41.992,-57.129,0.000
1688548451.598,-60.547,-30.762,-38.086,-57.617,0.000
1688548451.602,-56.641,-32.227,-37.598,-57.617,0.000
1688548451.606,-50.781,-33.691,-46.875,-50.293,0.000
1688548451.610,-51.758,-24.414,-53.223,-44.922,0.000
1688548451.614,-56.641,-16.113,-51.270,-56.641,0.000
1688548451.618,-63.477,-20.996,-54.199,-65.430,0.000
1688548451.622,-64.941,-28.320,-65.918,-59.082,0.000
1688548451.626,-60.059,-31.250,-69.336,-51.758,0.000
1688548451.630,-56.641,-39.551,-63.477,-45.898,0.000
1688548451.634,-64.453,-39.062,-66.895,-44.922,0.000
1688548451.638,-70.801,-28.809,-73.730,-56.152,0.000
1688548451.641,-57.617,-21.973,-73.730,-59.570,0.000
1688548451.645,-53.223,-29.785,-70.312,-58.105,0.000
1688548451.649,-54.688,-39.551,-66.895,-58.594,0.000
1688548451.653,-53.711,-37.598,-78.125,-44.922,0.000
1688548451.657,-60.547,-32.715,-68.848,-46.875,0.000
1688548451.661,-60.059,-31.738,-48.828,-54.688,0.000
1688548451.665,-47.852,-28.320,-55.176,-42.969,0.000
1688548451.669,-48.340,-23.926,-57.617,-43.945,0.000
1688548451.673,-45.898,-15.625,-57.617,-50.293,0.000
1688548451.677,-41.992,-11.719,-58.105,-50.293,0.000
1688548451.681,-34.180,-18.066,-51.758,-39.062,0.000
1688548451.684,-29.785,-20.996,-61.035,-36.133,0.000
1688548451.688,-36.133,-22.949,-58.594,-45.898,0.000
1688548451.692,-39.551,-23.926,-56.641,-50.781,0.000
1688548451.696,-34.668,-15.137,-67.383,-54.199,0.000
1688548451.700,-31.250,-14.648,-66.895,-54.688,0.000
1688548451.704,-33.691,-19.531,-50.293,-50.781,0.000
1688548451.708,-33.691,-19.043,-35.156,-49.805,0.000
1688548451.712,-37.109,-22.461,-30.762,-47.852,0.000
1688548451.716,-44.922,-26.367,-29.785,-52.246,0.000
1688548451.720,-47.852,-24.902,-29.297,-57.617,0.000
1688548451.723,-40.527,-25.879,-22.949,-50.293,0.000
1688548451.727,-42.969,-29.785,-16.602,-49.805,0.000
1688548451.731,-40.527,-26.855,-10.742,-49.805,0.000
1688548451.735,-30.273,-25.391,-10.742,-55.176,0.000
1688548451.739,-33.691,-26.367,-22.461,-62.012,0.000
1688548451.743,-36.621,-29.785,-33.691,-52.734,0.000
1688548451.747,-37.598,-31.250,-32.715,-55.176,0.000
1688548451.751,-43.945,-26.855,-15.625,-62.988,0.000
1688548451.755,-54.199,-27.832,-9.277,-59.082,0.000
1688548451.759,-56.641,-34.180,-14.648,-64.941,0.000
1688548451.763,-50.293,-34.668,-15.625,-57.617,0.000
1688548451.766,-48.340,-30.762,-25.391,-55.176,0.000
1688548451.770,-51.270,-40.527,-33.203,-55.664,0.000
1688548451.774,-53.711,-42.480,-24.414,-46.387,0.000
1688548451.778,-57.129,-38.086,-31.250,-56.641,0.000
1688548451.782,-50.781,-40.527,-50.781,-66.895,0.000
1688548451.786,-49.805,-45.898,-53.711,-65.918,0.000
1688548451.790,-54.688,-56.152,-52.734,-64.453,0.000
1688548451.794,-50.781,-57.617,-41.504,-68.359,0.000
1688548451.798,-53.223,-50.293,-32.715,-72.754,0.000
1688548451.802,-49.805,-51.758,-40.527,-61.523,0.000
1688548451.805,-38.574,-53.223,-44.922,-57.617,0.000
1688548451.809,-41.504,-64.941,-38.574,-58.105,0.000
1688548451.813,-48.828,-68.848,-44.922,-65.430,0.000
1688548451.817,-50.293,-61.035,-49.316,-80.566,0.000
1688548451.821,-54.688,-65.918,-39.062,-68.359,0.000
1688548451.825,-47.852,-62.988,-38.574,-59.082,0.000
1688548451.829,-39.062,-55.664,-41.016,-53.711,0.000
1688548451.833,-50.293,-57.617,-42.480,-47.363,0.000
1688548451.837,-60.059,-47.363,-44.434,-43.457,0.000
1688548451.841,-49.805,-39.062,-36.621,-46.875,0.000
1688548451.845,-41.504,-42.480,-42.480,-47.852,0.000
1688548451.848,-45.410,-46.387,-52.734,-44.434,0.000
1688548451.852,-47.363,-46.387,-49.805,-47.852,0.000
1688548451.856,-54.688,-41.504,-45.898,-53.711,0.000
1688548451.860,-58.105,-41.504,-51.758,-54.688,0.000
1688548451.864,-49.805,-49.316,-54.688,-53.223,0.000
1688548451.868,-48.828,-55.664,-44.434,-51.758,0.000
1688548451.872,-53.711,-56.641,-40.527,-48.828,0.000
1688548451.876,-48.828,-62.012,-41.992,-50.781,0.000
1688548451.880,-46.387,-63.965,-32.715,-53.223,0.000
1688548451.884,-46.387,-59.570,-13.672,-53.223,0.000
1688548451.887,-37.598,-57.617,-5.371,-36.621,0.000
1688548451.891,-38.574,-57.129,-16.602,-36.133,0.000
1688548451.895,-42.480,-48.828,-25.391,-50.781,0.000
1688548451.899,-41.016,-47.363,-24.902,-52.734,0.000
1688548451.903,-27.832,-44.434,-20.508,-47.363,0.000
1688548451.907,-24.414,-40.527,-15.625,-46.387,0.000
1688548451.911,-23.926,-46.875,-18.555,-43.945,0.000
1688548451.915,-24.414,-47.363,-19.043,-42.969,0.000
1688548451.919,-33.203,-40.527,-21.484,-54.199,0.000
1688548451.923,-31.738,-45.410,-37.598,-55.176,0.000
1688548451.927,-33.203,-50.781,-28.320,-52.246,0.000
1688548451.930,-42.480,-54.688,-15.137,-60.059,0.000
1688548451.934,-52.246,-60.547,-26.367,-58.594,0.000
1688548451.938,-49.805,-51.758,-33.203,-64.453,0.000
1688548451.942,-42.480,-45.410,-32.715,-68.848,0.000
1688548451.946,-42.969,-51.270,-30.762,-62.012,0.000
1688548451.950,-37.598,-55.176,-28.809,-59.082,0.000
1688548451.954,-38.574,-52.734,-27.832,-57.617,0.000
1688548451.958,-49.805,-45.898,-20.020,-70.312,0.000
1688548451.962,-49.805,-39.551,-16.602,-72.266,0.000
1688548451.966,-48.828,-40.039,-29.785,-56.152,0.000
1688548451.970,-46.875,-36.621,-45.410,-50.781,0.000
1688548451.973,-51.758,-34.668,-47.852,-56.641,0.000
1688548451.977,-61.523,-37.109,-38.574,-55.664,0.000
1688548451.981,-51.758,-35.645,-30.762,-48.828,0.000
1688548451.985,-41.992,-32.715,-27.832,-40.527,0.000
1688548451.989,-39.551,-33.203,-10.742,-44.434,0.000
1688548451.993,-34.180,-37.598,-4.395,-38.574,0.000
1688548451.997,-30.762,-42.969,-14.648,-28.809,0.000
1688548452.001,-31.250,-46.387,-15.625,-33.691,0.000
1688548452.005,-29.785,-44.434,-20.996,-41.016,0.000
1688548452.009,-32.715,-43.945,-33.203,-45.898,0.000
1688548452.013,-28.809,-41.016,-36.133,-34.180,0.000
1688548452.016,-19.043,-38.574,-28.809,-20.996,0.000
1688548452.020,-21.484,-39.062,-19.043,-34.180,0.000
1688548452.024,-12.207,-37.598,-20.508,-30.273,0.000
1688548452.028,-13.184,-46.387,-25.391,-18.555,0.000
1688548452.032,-23.926,-44.434,-20.020,-30.762,0.000
1688548452.036,-20.020,-31.738,-14.648,-38.086,0.000
1688548452.040,-20.508,-29.785,-16.113,-36.621,0.000
1688548452.044,-29.785,-43.457,-31.738,-34.668,0.000
1688548452.048,-41.992,-51.270,-35.645,-41.504,0.000
1688548452.052,-47.852,-39.551,-25.391,-44.434,0.000
1688548452.055,-52.246,-30.273,-33.691,-41.016,0.000
1688548452.059,-54.688,-27.832,-33.203,-41.992,0.000
1688548452.063,-47.852,-25.391,-22.949,-40.527,0.000
1688548452.067,-39.551,-21.484,-17.578,-42.969,0.000
1688548452.071,-41.992,-23.926,-20.508,-41.504,0.000
1688548452.075,-50.781,-28.320,-21.973,-44.434,0.000
1688548452.079,-40.527,-35.645,-6.348,-27.832,0.000
1688548452.083,-23.438,-35.645,-6.348,-4.395,0.000
1688548452.087,-45.410,-26.855,-22.949,-33.691,0.000
1688548452.091,-49.316,-17.578,-21.484,-42.480,0.000
1688548452.095,-42.969,-6.348,-22.949,-40.039,0.000
1688548452.098,-35.156,-7.324,-29.297,-40.039,0.000
1688548452.102,-22.949,-16.602,-36.621,-35.156,0.000
1688548452.106,-27.832,-14.648,-35.645,-37.598,0.000
1688548452.110,-21.484,-7.812,-23.926,-22.949,0.000
1688548452.114,-19.531,-5.371,-20.508,-29.785,0.000
1688548452.118,-19.043,-11.719,-30.273,-33.691,0.000
1688548452.122,-2.930,-11.719,-33.203,-15.625,0.000
1688548452.126,5.371,-6.348,-22.461,-8.789,0.000
1688548452.130,9.766,-13.672,-37.598,-6.836,0.000
1688548452.134,15.625,-12.207,-46.875,-8.301,0.000
1688548452.138,20.996,-1.465,-40.039,-8.301,0.000
1688548452.141,27.344,5.859,-39.551,-5.859,0.000
1688548452.145,28.320,7.324,-48.340,-6.836,0.000
1688548452.149,26.855,1.953,-45.898,-11.230,0.000
1688548452.153,27.832,0.977,-47.363,-7.812,0.000
1688548452.157,10.742,-4.395,-57.129,-20.508,0.000
1688548452.161,-8.789,-12.695,-58.594,-38.574,0.000
1688548452.165,-10.742,-9.766,-56.641,-27.832,0.000
1688548452.169,-14.648,-6.836,-45.410,-26.367,0.000
1688548452.173,-22.949,-6.836,-42.480,-36.621,0.000
1688548452.177,-34.180,-16.113,-51.758,-31.738,0.000
1688548452.180,-42.969,-14.648,-50.293,-35.156,0.000
1688548452.184,-38.574,-8.789,-41.992,-40.527,0.000
1688548452.188,-33.203,-14.648,-49.316,-41.504,0.000
1688548452.192,-38.086,-20.020,-60.059,-44.434,0.000
1688548452.196,-44.922,-20.508,-54.688,-50.781,0.000
1688548452.200,-36.133,-17.578,-56.641,-57.129,0.000
1688548452.204,-31.738,-26.367,-62.500,-52.246,0.000
1688548452.208,-32.715,-30.273,-63.477,-34.180,0.000
1688548452.212,-29.297,-22.949,-61.035,-32.715,0.000
1688548452.216,-31.738,-25.391,-41.016,-43.457,0.000
1688548452.220,-49.805,-26.367,-47.852,-49.316,0.000
1688548452.223,-49.805,-19.043,-53.223,-50.781,0.000
1688548452.227,-29.297,-15.137,-47.363,-41.992,0.000
1688548452.231,-23.438,-14.648,-47.363,-34.668,0.000
1688548452.235,-28.320,-23.926,-56.152,-36.621,0.000
1688548452.239,-35.156,-26.855,-56.152,-42.480,0.000
1688548452.243,-22.461,-29.785,-45.898,-28.320,0.000
1688548452.247,-18.555,-27.832,-52.734,-26.855,0.000
1688548452.251,-18.555,-31.738,-54.688,-24.414,0.000
1688548452.255,-7.812,-37.109,-46.875,-14.648,0.000
1688548452.259,-8.789,-31.738,-36.621,-12.695,0.000
1688548452.262,-11.230,-34.668,-32.227,-13.184,0.000
1688548452.266,-9.766,-37.598,-41.992,-16.602,0.000
1688548452.270,-7.812,-39.551,-57.617,-7.812,0.000
1688548452.274,-14.160,-40.527,-55.176,-21.973,0.000
1688548452.278,-17.578,-31.250,-51.758,-34.180,0.000
1688548452.282,-14.648,-27.344,-60.059,-23.926,0.000
1688548452.286,-12.207,-28.809,-53.223,-23.926,0.000
1688548452.290,-15.625,-36.133,-54.199,-35.156,0.000
1688548452.294,-20.508,-39.062,-58.105,-45.898,0.000
1688548452.298,-18.555,-38.086,-54.688,-35.645,0.000
1688548452.302,-18.555,-32.715,-43.457,-33.203,0.000
1688548452.305,-12.207,-29.785,-31.250,-37.109,0.000
1688548452.309,-7.324,-28.320,-27.832,-22.949,0.000
1688548452.313,-19.043,-23.438,-29.297,-20.508,0.000
1688548452.317,-28.320,-26.367,-24.414,-27.344,0.000
1688548452.321,-24.414,-31.738,-26.367,-37.109,0.000
1688548452.325,-4.395,-36.621,-43.945,-29.785,0.000
1688548452.329,11.230,-34.180,-43.945,-7.324,0.000
1688548452.333,-5.371,-25.391,-40.039,-10.254,0.000
1688548452.337,-33.691,-20.996,-45.410,-26.367,0.000
1688548452.341,-39.551,-21.973,-49.805,-27.344,0.000
1688548452.345,-21.973,-14.160,-58.105,-15.137,0.000
1688548452.348,-14.160,-15.137,-52.734,-11.719,0.000
1688548452.352,-14.160,-20.020,-45.898,-20.508,0.000
1688548452.356,-18.066,-22.949,-58.105,-29.785,0.000
1688548452.360,-25.879,-27.832,-68.359,-28.320,0.000
1688548452.364,-20.508,-23.926,-55.176,-25.391,0.000
1688548452.368,-11.230,-25.391,-36.621,-20.508,0.000
1688548452.372,-9.277,-26.367,-41.016,-17.090,0.000
1688548452.376,-12.695,-26.855,-40.039,-23.438,0.000
